|provider    |sport_code|external_league_id|season|missing_provider_team_id|total_usage_count|
|api_football|football  |136               |2023  |523                     |38               |
|api_football|football  |136               |2023  |895                     |38               |
|api_football|football  |136               |2024  |488                     |38               |
|api_football|football  |140               |2022  |529                     |38               |
|api_football|football  |140               |2022  |530                     |38               |
|api_football|football  |140               |2022  |532                     |38               |
|api_football|football  |140               |2022  |533                     |38               |
|api_football|football  |140               |2022  |538                     |38               |
|api_football|football  |140               |2022  |541                     |38               |
|api_football|football  |140               |2022  |543                     |38               |
|api_football|football  |140               |2022  |547                     |38               |
|api_football|football  |140               |2022  |548                     |38               |
|api_football|football  |140               |2022  |728                     |38               |
|api_football|football  |140               |2022  |798                     |38               |
|api_football|football  |140               |2023  |529                     |38               |
|api_football|football  |140               |2023  |530                     |38               |
|api_football|football  |140               |2023  |532                     |38               |
|api_football|football  |140               |2023  |533                     |38               |
|api_football|football  |140               |2023  |538                     |38               |
|api_football|football  |140               |2023  |541                     |38               |
|api_football|football  |140               |2023  |542                     |38               |
|api_football|football  |140               |2023  |543                     |38               |
|api_football|football  |140               |2023  |547                     |38               |
|api_football|football  |140               |2023  |548                     |38               |
|api_football|football  |140               |2023  |728                     |38               |
|api_football|football  |140               |2023  |798                     |38               |
|api_football|football  |140               |2024  |529                     |38               |
|api_football|football  |140               |2024  |530                     |38               |
|api_football|football  |140               |2024  |532                     |38               |
|api_football|football  |140               |2024  |533                     |38               |
|api_football|football  |140               |2024  |538                     |38               |
|api_football|football  |140               |2024  |541                     |38               |
|api_football|football  |140               |2024  |542                     |38               |
|api_football|football  |140               |2024  |543                     |38               |
|api_football|football  |140               |2024  |547                     |38               |
|api_football|football  |140               |2024  |548                     |38               |
|api_football|football  |140               |2024  |728                     |38               |
|api_football|football  |140               |2024  |798                     |38               |
|api_football|football  |39                |2022  |35                      |38               |
|api_football|football  |39                |2022  |36                      |38               |
|api_football|football  |39                |2022  |40                      |38               |
|api_football|football  |39                |2022  |42                      |38               |
|api_football|football  |39                |2022  |45                      |38               |
|api_football|football  |39                |2022  |49                      |38               |
|api_football|football  |39                |2022  |50                      |38               |
|api_football|football  |39                |2022  |52                      |38               |
|api_football|football  |39                |2022  |55                      |38               |
|api_football|football  |39                |2022  |63                      |38               |
|api_football|football  |39                |2022  |65                      |38               |
|api_football|football  |39                |2022  |66                      |38               |
|api_football|football  |39                |2023  |35                      |38               |
|api_football|football  |39                |2023  |36                      |38               |
|api_football|football  |39                |2023  |40                      |38               |
|api_football|football  |39                |2023  |42                      |38               |
|api_football|football  |39                |2023  |44                      |38               |
|api_football|football  |39                |2023  |45                      |38               |
|api_football|football  |39                |2023  |49                      |38               |
|api_football|football  |39                |2023  |50                      |38               |
|api_football|football  |39                |2023  |52                      |38               |
|api_football|football  |39                |2023  |55                      |38               |
|api_football|football  |39                |2023  |65                      |38               |
|api_football|football  |39                |2023  |66                      |38               |
|api_football|football  |39                |2024  |35                      |38               |
|api_football|football  |39                |2024  |36                      |38               |
|api_football|football  |39                |2024  |40                      |38               |
|api_football|football  |39                |2024  |42                      |38               |
|api_football|football  |39                |2024  |45                      |38               |
|api_football|football  |39                |2024  |49                      |38               |
|api_football|football  |39                |2024  |50                      |38               |
|api_football|football  |39                |2024  |52                      |38               |
|api_football|football  |39                |2024  |55                      |38               |
|api_football|football  |39                |2024  |65                      |38               |
|api_football|football  |39                |2024  |66                      |38               |
|api_football|football  |61                |2022  |108                     |38               |
|api_football|football  |61                |2022  |77                      |38               |
|api_football|football  |61                |2022  |79                      |38               |
|api_football|football  |61                |2022  |80                      |38               |
|api_football|football  |61                |2022  |81                      |38               |
|api_football|football  |61                |2022  |83                      |38               |
|api_football|football  |61                |2022  |84                      |38               |
|api_football|football  |61                |2022  |85                      |38               |
|api_football|football  |61                |2022  |94                      |38               |
|api_football|football  |61                |2022  |95                      |38               |
|api_football|football  |61                |2022  |96                      |38               |
|api_football|football  |61                |2022  |97                      |38               |
|api_football|football  |62                |2022  |112                     |38               |
|api_football|football  |62                |2023  |108                     |38               |
|api_football|football  |62                |2023  |77                      |38               |
|api_football|football  |88                |2022  |426                     |38               |
|api_football|football  |88                |2023  |196                     |38               |
|api_football|football  |89                |2022  |427                     |38               |
|api_football|football  |89                |2023  |202                     |38               |
|api_football|football  |89                |2023  |427                     |38               |
|api_football|football  |89                |2024  |196                     |38               |
|api_football|football  |89                |2024  |416                     |38               |
|api_football|football  |89                |2024  |427                     |38               |
|api_football|football  |61                |2023  |112                     |36               |
|api_football|football  |78                |2022  |172                     |36               |
|api_football|football  |78                |2024  |180                     |36               |
|api_football|football  |88                |2022  |210                     |36               |
|api_football|football  |88                |2024  |201                     |36               |
|api_football|football  |62                |2024  |112                     |35               |
|api_football|football  |88                |2023  |413                     |35               |
|api_football|football  |88                |2023  |426                     |35               |
|api_football|football  |88                |2024  |210                     |35               |
|api_football|football  |88                |2024  |413                     |35               |
|api_football|football  |61                |2023  |79                      |34               |
