|id |provider    |sport_code|entity |provider_league_id|season|run_group               |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |is_ready_now|
|51 |api_football|football  |teams  |172               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|53 |api_football|football  |teams  |173               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|55 |api_football|football  |teams  |179               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|57 |api_football|football  |teams  |180               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|59 |api_football|football  |teams  |197               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|61 |api_football|football  |teams  |203               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|63 |api_football|football  |teams  |204               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|65 |api_football|football  |teams  |205               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|67 |api_football|football  |teams  |207               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|69 |api_football|football  |teams  |208               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|71 |api_football|football  |teams  |210               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|73 |api_football|football  |teams  |211               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|75 |api_football|football  |teams  |218               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
