|sort_order|table_schema|table_name              |ordinal_position|column_name                |data_type               |udt_name   |is_nullable|column_default                                          |
|7         |ops         |ingest_planner          |6               |season                     |text                    |text       |YES        |                                                        |
|7         |ops         |ingest_planner          |7               |run_group                  |text                    |text       |YES        |                                                        |
|7         |ops         |ingest_planner          |8               |priority                   |integer                 |int4       |YES        |5                                                       |
|7         |ops         |ingest_planner          |9               |status                     |text                    |text       |YES        |'pending'::text                                         |
|7         |ops         |ingest_planner          |10              |attempts                   |integer                 |int4       |YES        |0                                                       |
|7         |ops         |ingest_planner          |11              |last_attempt               |timestamp with time zone|timestamptz|YES        |                                                        |
|7         |ops         |ingest_planner          |12              |next_run                   |timestamp with time zone|timestamptz|YES        |                                                        |
|7         |ops         |ingest_planner          |13              |created_at                 |timestamp with time zone|timestamptz|YES        |now()                                                   |
|7         |ops         |ingest_planner          |14              |updated_at                 |timestamp with time zone|timestamptz|YES        |now()                                                   |
|8         |ops         |ingest_runtime_config   |1               |id                         |bigint                  |int8       |NO         |nextval('ops.ingest_runtime_config_id_seq'::regclass)   |
|8         |ops         |ingest_runtime_config   |2               |provider                   |text                    |text       |NO         |                                                        |
|8         |ops         |ingest_runtime_config   |3               |sport_code                 |text                    |text       |NO         |                                                        |
|8         |ops         |ingest_runtime_config   |4               |plan_code                  |text                    |text       |NO         |                                                        |
|8         |ops         |ingest_runtime_config   |5               |season_min                 |text                    |text       |YES        |                                                        |
|8         |ops         |ingest_runtime_config   |6               |season_max                 |text                    |text       |YES        |                                                        |
|8         |ops         |ingest_runtime_config   |7               |maintenance_season         |text                    |text       |YES        |                                                        |
|8         |ops         |ingest_runtime_config   |8               |max_daily_requests         |integer                 |int4       |YES        |                                                        |
|8         |ops         |ingest_runtime_config   |9               |notes                      |text                    |text       |YES        |                                                        |
|8         |ops         |ingest_runtime_config   |10              |is_active                  |boolean                 |bool       |NO         |true                                                    |
|8         |ops         |ingest_runtime_config   |11              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|8         |ops         |ingest_runtime_config   |12              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|9         |ops         |scheduler_queue         |1               |id                         |bigint                  |int8       |NO         |nextval('ops.scheduler_queue_id_seq'::regclass)         |
|9         |ops         |scheduler_queue         |2               |queue_day                  |date                    |date       |NO         |CURRENT_DATE                                            |
|9         |ops         |scheduler_queue         |3               |sport_code                 |text                    |text       |NO         |                                                        |
|9         |ops         |scheduler_queue         |4               |target_id                  |bigint                  |int8       |NO         |                                                        |
