|external_team_id|team_name               |src_norm               |team_id|canonical_team_name         |canon_norm                 |
|7315            |Loko Vltav?n            |loko vltavn            |14,202 |Loko Vltav?n                |loko vltavn                |
|12900           |?l?sk Wroc?aw II        |lsk wrocaw ii          |15,255 |?l?sk Wroc?aw II            |lsk wrocaw ii              |
|14878           |Mazatl?n W              |mazatln w              |23,508 |AZ                          |az                         |
|14878           |Mazatl?n W              |mazatln w              |28,756 |Mazatl?n W                  |mazatln w                  |
|5573            |Ming??evir              |mingevir               |13,163 |Ming??evir                  |mingevir                   |
|9712            |M?stoles                |mstoles                |28,815 |M?stoles                    |mstoles                    |
|20487           |N?rnberg                |nrnberg                |13,523 |1. FC N?rnberg              |1 fc nrnberg               |
|20487           |N?rnberg                |nrnberg                |14,782 |N?rnberg                    |nrnberg                    |
|6886            |O?elul                  |oelul                  |12,959 |O?elul                      |oelul                      |
|6945            |Olimpia Elbl?g          |olimpia elblg          |28,687 |MP                          |mp                         |
|6945            |Olimpia Elbl?g          |olimpia elblg          |27,993 |Olimpia                     |olimpia                    |
|6945            |Olimpia Elbl?g          |olimpia elblg          |14,273 |Olimpia Elbl?g              |olimpia elblg              |
|6635            |Olympique de Gen?ve     |olympique de genve     |28,687 |MP                          |mp                         |
|6635            |Olympique de Gen?ve     |olympique de genve     |28,738 |Olympique de Gen?ve         |olympique de genve         |
|25034           |Onti?ena                |ontiena                |28,774 |Onti?ena                    |ontiena                    |
|10540           |P?chov                  |pchov                  |13,326 |P?chov                      |pchov                      |
|9405            |Pe?a Deportiva          |pea deportiva          |16,808 |Pe?a Deportiva              |pea deportiva              |
|7337            |P?e?tice                |petice                 |14,669 |P?e?tice                    |petice                     |
|10538           |Petr?alka               |petralka               |13,671 |Petr?alka                   |petralka                   |
|15329           |?pila                   |pila                   |27,608 |Épila                       |epila                      |
|6947            |Pogo? Siedlce           |pogo siedlce           |12,905 |Pogo? Siedlce               |pogo siedlce               |
|14062           |Pova?sk? Bystrica       |povask bystrica        |12,994 |Pova?sk? Bystrica           |povask bystrica            |
|7334            |P?sek                   |psek                   |14,656 |P?sek                       |psek                       |
|3490            |Puszcza Niepo?omice     |puszcza niepoomice     |12,902 |Puszcza Niepo?omice         |puszcza niepoomice         |
|5495            |Qarada? L?kbatan        |qarada lkbatan         |13,397 |Qarada? L?kbatan            |qarada lkbatan             |
|14871           |Quer?taro W             |quertaro w             |28,749 |Quer?taro W                 |quertaro w                 |
|14046           |Ra?a                    |raa                    |12,165 |De Graafschap               |de graafschap              |
|14046           |Ra?a                    |raa                    |1,118  |Graafschap                  |graafschap                 |
|14046           |Ra?a                    |raa                    |14,231 |Hapoel Ra'anana             |hapoel raanana             |
|14046           |Ra?a                    |raa                    |25,806 |Hapoel Ra'anana             |hapoel raanana             |
|14046           |Ra?a                    |raa                    |27,681 |Jaraaf                      |jaraaf                     |
|14046           |Ra?a                    |raa                    |15,353 |Ra?a                        |raa                        |
|14046           |Ra?a                    |raa                    |970    |RAAL La Louviere            |raal la louviere           |
|14046           |Ra?a                    |raa                    |14,427 |RAAL La Louviere U21        |raal la louviere u21       |
|14046           |Ra?a                    |raa                    |12,427 |RAAL La Louvi?re            |raal la louvire            |
|12837           |Radunia St??yca         |radunia styca          |14,524 |Radunia St??yca             |radunia styca              |
|3491            |Rak?w Cz?stochowa       |rakw czstochowa        |12,668 |Rak?w Cz?stochowa           |rakw czstochowa            |
|9632            |Real Avil?s             |real avils             |16,845 |Real                        |real                       |
|9632            |Real Avil?s             |real avils             |14,369 |Real Avil?s                 |real avils                 |
|5274            |Real Ja?n               |real jan               |16,845 |Real                        |real                       |
|5274            |Real Ja?n               |real jan               |28,792 |Real Ja?n                   |real jan                   |
|9736            |Real ?vila              |real vila              |16,845 |Real                        |real                       |
|9736            |Real ?vila              |real vila              |14,328 |Real ?vila                  |real vila                  |
|6951            |Resovia Rzesz?w         |resovia rzeszw         |14,697 |Resovia Rzesz?w             |resovia rzeszw             |
|4379            |Roga?ka                 |rogaka                 |14,928 |Roga?ka                     |rogaka                     |
|6953            |Ruch Chorz?w            |ruch chorzw            |12,856 |Ruch Chorz?w                |ruch chorzw                |
|3492            |Sandecja Nowy S?cz      |sandecja nowy scz      |15,191 |Sandecja Nowy S?cz          |sandecja nowy scz          |
|9601            |Sanluque?o              |sanluqueo              |16,891 |Sanluque?o                  |sanluqueo                  |
|4199            |S?bail                  |sbail                  |13,474 |S?bail                      |sbail                      |
|6232            |SCM Gloria Buz?u        |scm gloria buzu        |12,247 |SCM Gloria Buz?u            |scm gloria buzu            |
|9411            |SD Logro??s             |sd logros              |14,095 |SD Logro??s                 |sd logros                  |
|6954            |SKRA Cz?stochowa        |skra czstochowa        |13,936 |SKRA Cz?stochowa            |skra czstochowa            |
|6698            |Sk?vde AIK              |skvde aik              |12,399 |Sk?vde AIK                  |skvde aik                  |
|10543           |Slavoj Trebi?ov         |slavoj trebiov         |14,998 |Slavoj Trebi?ov             |slavoj trebiov             |
|8623            |Slov?cko II             |slovcko ii             |13,245 |Slov?cko                    |slovcko                    |
|8623            |Slov?cko II             |slovcko ii             |14,831 |Slov?cko II                 |slovcko ii                 |
|7350            |Sokol Hostou?           |sokol hostou           |14,752 |Sokol Hostou?               |sokol hostou               |
|25040           |Sporting Mah?n          |sporting mahn          |25,659 |Sporting                    |sporting                   |
|25040           |Sporting Mah?n          |sporting mahn          |28,780 |Sporting Mah?n              |sporting mahn              |
|6957            |Stal Rzesz?w            |stal rzeszw            |12,936 |Stal Rzesz?w                |stal rzeszw                |
|7033            |Stj?rdals-Blink         |stjrdalsblink          |28,677 |Stj?rdals-Blink             |stjrdalsblink              |
|5503            |Sumqay?t                |sumqayt                |12,795 |Sumqay?t                    |sumqayt                    |
|4362            |Tabor Se?ana            |tabor seana            |13,689 |Tabor Se?ana                |tabor seana                |
|10550           |Tatran Pre?ov           |tatran preov           |13,395 |Tatran Pre?ov               |tatran preov               |
|5280            |UD Logro??s             |ud logros              |28,794 |UD Logro??s                 |ud logros                  |
|8624            |Uhersk? Brod            |uhersk brod            |13,972 |Uhersk? Brod                |uhersk brod                |
|7369            |Uni?ov                  |uniov                  |14,253 |Uni?ov                      |uniov                      |
|17136           |Unirea Constan?a        |unirea constana        |15,484 |Unirea Constan?a            |unirea constana            |
|7373            |Velk? Mezi????          |velk mezi              |15,471 |Velk? Mezi????              |velk mezi                  |
|6927            |Viitorul ?elimb?r       |viitorul elimbr        |13,278 |Viitorul ?elimb?r           |viitorul elimbr            |
|3729            |Viktoria ?i?kov         |viktoria ikov          |12,770 |Viktoria ?i?kov             |viktoria ikov              |
|8620            |Viktoria Plze? II       |viktoria plze ii       |14,219 |Viktoria Plze? II           |viktoria plze ii           |
|3732            |V?tkovice               |vtkovice               |26,374 |Vic                         |vic                        |
|3732            |V?tkovice               |vtkovice               |15,259 |V?tkovice                   |vtkovice                   |
|3496            |Warta Pozna?            |warta pozna            |12,633 |Warta Pozna?                |warta pozna                |
|6962            |Widzew ??d?             |widzew d               |12,351 |Widzew ??d?                 |widzew d                   |
|16272           |Wis?a Pu?awy            |wisa puawy             |13,916 |Wis?a Pu?awy                |wisa puawy                 |
|6963            |Zag??bie Lubin II       |zagbie lubin ii        |14,600 |Zag??bie Lubin II           |zagbie lubin ii            |
|8625            |Zl?n II                 |zln ii                 |13,823 |Zl?n II                     |zln ii                     |
|6964            |Znicz Pruszk?w          |znicz pruszkw          |13,404 |Znicz Pruszk?w              |znicz pruszkw              |
