|sort_order|table_name                        |constraint_name                                    |constraint_type|column_name      |foreign_table_schema|foreign_table_name                |foreign_column_name|
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |run_id           |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |league_id        |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |season           |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |fixture_id       |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |bookmaker_id     |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |run_id             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |market           |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |outcome            |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |market             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |bookmaker_id       |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |fixture_id         |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |season             |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |league_id          |
|21        |api_football_odds                 |api_football_odds_pkey                             |PRIMARY KEY    |outcome          |staging             |api_football_odds                 |run_id             |
