|status_bucket         |provider    |external_team_id|team_name               |candidate_count|candidate_team_ids|candidate_team_names|
|NO_EXACT_MATCH        |api_football|8195            |Georgia U21             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|22430           |Germany U16             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1093            |Gibraltar               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|12704           |Grasshopper II          |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1117            |Greece                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5533            |Grenada                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|4321            |Grulla Morioka          |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5161            |Guatemala               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1509            |Guinea                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1513            |Guinea-Bissau           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|20547           |Guinea U23              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5162            |Guyana                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|12780           |Hankofen-Hailing        |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|26096           |Heino                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|4672            |Honduras                |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|4460            |Hong Kong               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|16500           |Hungary U21             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|25272           |Hypers Guba             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|18              |Iceland                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|23260           |Iceland U20             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|25273           |?imal                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5570            |Imisli FK               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1537            |India                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|10935           |India U23               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1571            |Indonesia               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|21057           |Indonesia U20           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|10936           |Indonesia U23           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1020            |Inter Zapresic          |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1116            |Israel                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|22255           |Italy U16               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|19071           |Italy U18               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|2385            |Jamaica                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|21368           |Jamaica W U20           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|22724           |Japan U16               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|10176           |Japan U23               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|19627           |Jordan U20              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|3895            |JOS Watergraafsmeer     |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|21421           |Kampong                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1095            |Kazakhstan              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1511            |Kenya                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|11034           |Kenya U20               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|805             |Kitakyushu              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|4212            |Kokand-1912             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1111            |Kosovo                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|14504           |Kreuzlingen             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1570            |Kuwait                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1554            |Kyrgyzstan              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6628            |Lancy                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1558            |Laos                    |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1092            |Latvia                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|12693           |Lausanne Sport II       |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1551            |Lebanon                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1518            |Lesotho                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1526            |Libya                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1107            |Liechtenstein           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1102            |Luxembourg              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1490            |Madagascar              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1495            |Malawi                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|11037           |Malawi U20              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1538            |Malaysia                |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|10945           |Malaysia U23            |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1549            |Maldives                |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1500            |Mali                    |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|20551           |Mali U23                |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1112            |Malta                   |0              |                  |                    |
