|id |provider             |sport_code|entity             |enabled|priority|scope_type   |requires_league|requires_season|default_run_group|ingest_mode|source_endpoint |target_table                     |worker_script                     |notes                        |created_at                   |updated_at                   |
|48 |api_volleyball       |VB        |coaches            |true   |70      |league_season|true           |true           |VB_CORE          |daily      |                |                                 |                                  |Volleyball coaches           |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|52 |api_handball         |HB        |odds               |true   |40      |league_season|true           |true           |HB_CORE          |daily      |                |                                 |                                  |Handball odds                |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|53 |api_handball         |HB        |players            |true   |50      |league_season|true           |true           |HB_CORE          |daily      |                |                                 |                                  |Handball players             |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|54 |api_handball         |HB        |coaches            |true   |70      |league_season|true           |true           |HB_CORE          |daily      |                |                                 |                                  |Handball coaches             |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|58 |api_baseball         |BSB       |odds               |true   |40      |league_season|true           |true           |BSB_CORE         |daily      |                |                                 |                                  |Baseball odds                |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|59 |api_baseball         |BSB       |players            |true   |50      |league_season|true           |true           |BSB_CORE         |daily      |                |                                 |                                  |Baseball players             |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|60 |api_baseball         |BSB       |coaches            |true   |70      |league_season|true           |true           |BSB_CORE         |daily      |                |                                 |                                  |Baseball coaches             |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|64 |api_rugby            |RGB       |odds               |true   |40      |league_season|true           |true           |RGB_CORE         |daily      |                |                                 |                                  |Rugby odds                   |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|65 |api_rugby            |RGB       |players            |true   |50      |league_season|true           |true           |RGB_CORE         |daily      |                |                                 |                                  |Rugby players                |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|66 |api_rugby            |RGB       |coaches            |true   |70      |league_season|true           |true           |RGB_CORE         |daily      |                |                                 |                                  |Rugby coaches                |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|70 |api_cricket          |CK        |odds               |true   |40      |league_season|true           |true           |CK_CORE          |daily      |                |                                 |                                  |Cricket odds                 |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|71 |api_cricket          |CK        |players            |true   |50      |league_season|true           |true           |CK_CORE          |daily      |                |                                 |                                  |Cricket players              |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|72 |api_cricket          |CK        |coaches            |true   |70      |league_season|true           |true           |CK_CORE          |daily      |                |                                 |                                  |Cricket coaches              |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|76 |api_field_hockey     |FH        |odds               |true   |40      |league_season|true           |true           |FH_CORE          |daily      |                |                                 |                                  |Field hockey odds            |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|77 |api_field_hockey     |FH        |players            |true   |50      |league_season|true           |true           |FH_CORE          |daily      |                |                                 |                                  |Field hockey players         |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|78 |api_field_hockey     |FH        |coaches            |true   |70      |league_season|true           |true           |FH_CORE          |daily      |                |                                 |                                  |Field hockey coaches         |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|82 |api_american_football|AFB       |odds               |true   |40      |league_season|true           |true           |AFB_CORE         |daily      |                |                                 |                                  |American football odds       |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|83 |api_american_football|AFB       |players            |true   |50      |league_season|true           |true           |AFB_CORE         |daily      |                |                                 |                                  |American football players    |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|84 |api_american_football|AFB       |coaches            |true   |70      |league_season|true           |true           |AFB_CORE         |daily      |                |                                 |                                  |American football coaches    |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|85 |api_esports          |ESP       |leagues            |true   |10      |league_season|true           |true           |ESP_CORE         |daily      |                |                                 |                                  |Esports leagues              |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|86 |api_esports          |ESP       |fixtures           |true   |20      |league_season|true           |true           |ESP_CORE         |daily      |                |                                 |                                  |Esports fixtures             |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|87 |api_esports          |ESP       |players            |true   |30      |league_season|true           |true           |ESP_CORE         |daily      |                |                                 |                                  |Esports players              |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|88 |api_esports          |ESP       |coaches            |true   |40      |league_season|true           |true           |ESP_CORE         |daily      |                |                                 |                                  |Esports coaches              |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|89 |api_esports          |ESP       |odds               |true   |50      |league_season|true           |true           |ESP_CORE         |daily      |                |                                 |                                  |Esports odds                 |2026-03-20 08:30:03.477 +0100|2026-03-23 21:36:12.860 +0100|
|38 |api_darts            |DRT       |leagues            |true   |10      |league_season|true           |true           |DRT_CORE         |daily      |                |                                 |                                  |Darts tournaments            |2026-03-20 08:20:05.476 +0100|2026-03-23 21:36:12.860 +0100|
|39 |api_darts            |DRT       |fixtures           |true   |20      |league_season|true           |true           |DRT_CORE         |daily      |                |                                 |                                  |Darts matches                |2026-03-20 08:20:05.476 +0100|2026-03-23 21:36:12.860 +0100|
|40 |api_darts            |DRT       |players            |true   |30      |league_season|true           |true           |DRT_CORE         |daily      |                |                                 |                                  |Darts players                |2026-03-20 08:20:05.476 +0100|2026-03-23 21:36:12.860 +0100|
|41 |api_darts            |DRT       |rankings           |true   |40      |league_season|true           |true           |DRT_CORE         |daily      |                |                                 |                                  |Darts rankings               |2026-03-20 08:20:05.476 +0100|2026-03-23 21:36:12.860 +0100|
|42 |api_darts            |DRT       |odds               |true   |50      |league_season|true           |true           |DRT_CORE         |daily      |                |                                 |                                  |Darts odds                   |2026-03-20 08:20:05.476 +0100|2026-03-23 21:36:12.860 +0100|
