|external_league_id|league_name                            |country_name          |season|is_active|raw_payload_id|created_at                   |
|72                |NM Cup Women                           |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|75                |REMA 1000-ligaen                       |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|76                |REMA 1000-ligaen women                 |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|127               |Central League                         |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|207               |Central League Women                   |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|81                |I Liga                                 |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|82                |I Liga Women                           |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|80                |Polish Cup                             |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|79                |Polish Cup Women                       |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|78                |Superliga                              |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|77                |Superliga Women                        |Poland                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|85                |1a Divisao Women                       |Portugal              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|84                |Andebol 1                              |Portugal              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|83                |Super Cup                              |Portugal              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|86                |Taca de Portugal                       |Portugal              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|87                |Liga Nationala                         |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|88                |Liga Nationala Women                   |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|89                |Romanian Cup                           |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|90                |Romanian Cup Women                     |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|208               |Super Cup                              |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|209               |Super Cup Women                        |Romania               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|93                |Russian Cup                            |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|96                |Russian Cup Women                      |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|95                |Supercup                               |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|94                |Supercup Women                         |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|91                |Superleague                            |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|92                |Superleague Women                      |Russia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|97                |Superliga                              |Serbia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|98                |Extraliga                              |Slovakia              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|99                |1.A DRL Women                          |Slovenia              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|100               |1. NLB Liga                            |Slovenia              |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|105               |Copa Asobal                            |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|110               |Copa de la Reina Women                 |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|107               |Copa del Rey                           |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|104               |Division de Honor Plata                |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|108               |Division de Honor Women                |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|103               |Liga ASOBAL                            |Spain                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|111               |Allsvenskan                            |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|112               |Allsvenskan Women                      |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
