change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\010_indexes_performance.sql,,2026-02-11 13:54:31,,729
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\011_generated_tickets_is_blocked.sql,,2026-02-12 14:48:58,,107
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\012_generated_runs_params.sql,,2026-02-11 20:48:17,,351
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\013_fill_theodds_keys_missing.sql,,2026-02-19 20:58:05,,766
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\013_generated_ticket_items.sql,,2026-02-11 21:56:03,,784
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\014_generated_ticket_risk.sql,,2026-02-12 20:04:44,,269
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\015_mm_apply_risk_team_max.sql,,2026-02-12 20:01:05,,2322
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\016_matches_external_ids_and_result.sql,,2026-02-12 21:23:47,,390
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\017_leagues_external_ids.sql,,2026-02-12 21:25:06,,222
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\018_teams_external_ids.sql,,2026-02-12 21:27:25,,212
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\019_odds_indexes_for_compare.sql,,2026-02-12 21:29:25,,224
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\01_create_mm_ticket_scenarios.sql,,2026-03-09 22:03:19,,0
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\02_create_mm_ticket_scenario_variants.sql,,2026-03-09 22:08:02,,0
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\03_create_mm_ticket_scenario_blocks.sql,,2026-03-09 22:08:00,,0
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\04_create_mm_ticket_scenario_block_matches.sql,,2026-03-09 22:07:53,,0
NEW,scripts,00_Schema\010_generated_tickets_is_blocked.sql\05_drop_unused_mm_ticket_tables.sql,,2026-03-09 22:32:44,,681
NEW,scripts,00_Schema\010_staging_api_football.sql\038_alter_stg_provider_player_stats_for_match_merge.sql,,2026-03-15 21:11:28,,1650
NEW,scripts,00_Schema\010_staging_api_football.sql\039_create_player_season_statistics.sql,,2026-03-15 22:19:04,,2861
NEW,scripts,00_Schema\010_staging_api_football.sql\10_staging_api_football.sql,,2026-02-23 15:37:23,,2520
NEW,scripts,00_Schema\010_staging_api_hockey.sql\010_create_api_hockey_teams_raw.sql (volitelné),,2026-03-01 14:42:27,,271
NEW,scripts,00_Schema\020_generated_runs_add_bookmaker_id.sql\020_generated_runs_add_bookmaker_id.sql,,2026-02-12 21:42:35,,112
NEW,scripts,00_Schema\020_generated_runs_add_bookmaker_id.sql\023_matches_updated_at.sql,,2026-02-15 13:46:55,,421
NEW,scripts,00_Schema\020_generated_runs_add_bookmaker_id.sql\024_matches_normalize_status.sql,,2026-02-15 13:54:35,,770
NEW,scripts,00_Schema\020_generated_runs_add_bookmaker_id.sql\027_matches_score_status_rules.sql,,2026-02-15 13:55:11,,411
NEW,scripts,00_Schema\020_generated_runs_add_bookmaker_id.sql\029_leagues_set_csv_codes.sql,,2026-02-15 14:31:16,,627
NEW,scripts,00_Schema\020_provider_maps.sql\020_provider_maps.sql,,2026-02-23 16:08:23,,1199
NEW,scripts,00_Schema\020_provider_maps.sql\021_migrate_leagues_to_provider_map.sql,,2026-02-23 17:32:05,,753
NEW,scripts,00_Schema\020_provider_maps.sql\037_players_multisource_foundation.sql,,2026-03-15 12:50:45,,0
NEW,scripts,00_Schema\020_provider_maps.sql\038_players_enrichment_reseed_squads_team_based.sql,,2026-03-15 14:08:07,,0
NEW,scripts,00_Schema\030_ingest_schema.sql\030_ingest_schema.sql,,2026-02-12 22:32:08,,729
