provider,league_name,event_name,home_raw,away_raw,home_normalized,away_normalized,best_home_candidate,best_away_candidate,best_home_score,best_away_score,match_id,issue_code
theodds,soccer_italy_serie_a,Pisa vs Torino,Pisa,Torino,pisa,torino,pisa,torino,1.0,1.0,,NO_MATCH_ID
theodds,soccer_italy_serie_a,Udinese vs Como,Udinese,Como,udinese,como,udinese,como,1.0,1.0,,NO_MATCH_ID
theodds,soccer_italy_serie_a,AS Roma vs Pisa,AS Roma,Pisa,as roma,pisa,as roma,pisa,1.0,1.0,,NO_MATCH_ID
theodds,soccer_italy_serie_a,Cagliari vs Cremonese,Cagliari,Cremonese,cagliari,cremonese,cagliari,cremonese,1.0,1.0,,NO_MATCH_ID
theodds,soccer_italy_serie_a,Como vs Inter Milan,Como,Inter Milan,como,inter milan,como,inter milan,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,PSV Eindhoven vs FC Utrecht,PSV Eindhoven,FC Utrecht,psv eindhoven,utrecht,psv eindhoven,utrecht,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,AZ Alkmaar vs Fortuna Sittard,AZ Alkmaar,Fortuna Sittard,az alkmaar,fortuna sittard,az alkmaar,fortuna sittard,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,Go Ahead Eagles vs FC Zwolle,Go Ahead Eagles,FC Zwolle,go ahead eagles,zwolle,go ahead eagles,zwolle,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,FC Volendam vs Feyenoord,FC Volendam,Feyenoord,volendam,feyenoord,volendam,feyenoord,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,Sparta Rotterdam vs PSV Eindhoven,Sparta Rotterdam,PSV Eindhoven,sparta rotterdam,psv eindhoven,sparta rotterdam,psv eindhoven,1.0,1.0,,NO_MATCH_ID
theodds,soccer_netherlands_eredivisie,NEC Nijmegen vs Feyenoord,NEC Nijmegen,Feyenoord,nec nijmegen,feyenoord,nec nijmegen,feyenoord,1.0,1.0,,NO_MATCH_ID
theodds,soccer_portugal_primeira_liga,Nacional vs CF Estrela,Nacional,CF Estrela,nacional,estrela,nacional,estrela,1.0,1.0,,NO_MATCH_ID
theodds,soccer_spain_la_liga,Atlético Madrid vs Barcelona,Atlético Madrid,Barcelona,atletico madrid,barcelona,atletico madrid,barcelona,1.0,1.0,,NO_MATCH_ID
theodds,soccer_spain_la_liga,Sevilla vs Atlético Madrid,Sevilla,Atlético Madrid,sevilla,atletico madrid,sevilla,atletico madrid,1.0,1.0,,NO_MATCH_ID
theodds,soccer_uefa_champs_league,Barcelona vs Atlético Madrid,Barcelona,Atlético Madrid,barcelona,atletico madrid,barcelona,atletico madrid,1.0,1.0,,NO_MATCH_ID
