|run_id                |league_id|season|fixture_id|kickoff                      |status|home_team_id|home_team_name|away_team_id|away_team_name|ext_match_check          |identity_check            |
|20,260,416,220,840,601|10       |2,024 |1,223,562 |2024-10-15 13:00:00.000 +0200|CANC  |1,542       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,268,559 |2024-10-15 14:00:00.000 +0200|FT    |4,460       |              |1,543       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,294,672 |2024-10-16 01:30:00.000 +0200|FT    |5,529       |              |11          |Chapecoense AF|NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,293,948 |2024-10-16 04:30:00.000 +0200|FT    |16          |EC Vitória    |2,384       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,315,180 |2024-11-13 13:00:00.000 +0100|FT    |1,560       |              |1,549       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,313,047 |2024-11-13 14:00:00.000 +0100|FT    |1,536       |              |1,545       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,298,698 |2024-11-14 13:00:00.000 +0100|FT    |4,460       |              |1,555       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,311,131 |2024-11-14 13:00:00.000 +0100|FT    |1,546       |              |1,556       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,313,508 |2024-11-14 13:30:00.000 +0100|FT    |1,558       |              |1,538       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,312,231 |2024-11-14 13:30:00.000 +0100|FT    |1,564       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,200,438 |2024-11-14 19:00:00.000 +0100|FT    |1,112       |Waalwijk      |1,107       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,313,046 |2024-11-15 17:00:00.000 +0100|FT    |4           |Fluminense FC |5,538       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,315,181 |2024-11-16 13:00:00.000 +0100|FT    |1,560       |              |1,549       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,313,048 |2024-11-16 14:00:00.000 +0100|FT    |1,545       |              |1,553       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,312,849 |2024-11-17 13:30:00.000 +0100|FT    |1,564       |              |1,558       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,311,132 |2024-11-18 13:00:00.000 +0100|FT    |1,546       |              |1,557       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,308,804 |2024-11-18 15:00:00.000 +0100|FT    |1,537       |              |1,538       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,315,182 |2024-11-19 11:30:00.000 +0100|FT    |1,556       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,298,699 |2024-11-19 13:00:00.000 +0100|FT    |4,460       |              |1,497       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,314,212 |2024-11-19 14:00:00.000 +0100|FT    |1,536       |              |1,553       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,316,641 |2024-11-19 17:15:00.000 +0100|FT    |5,166       |              |1,550       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,313,507 |2024-11-19 17:30:00.000 +0100|FT    |4           |Fluminense FC |1,565       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,286,334 |2024-11-19 18:00:00.000 +0100|FT    |1,093       |Spal          |1,114       |Cambuur       |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,321,853 |2024-12-09 01:00:00.000 +0100|FT    |1,570       |              |1,550       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,321,854 |2024-12-12 16:00:00.000 +0100|FT    |1,570       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,321,855 |2024-12-15 16:00:00.000 +0100|FT    |1,570       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,325,295 |2024-12-16 01:00:00.000 +0100|FT    |1,552       |              |1,550       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,325,294 |2024-12-17 17:45:00.000 +0100|FT    |23          |Santos FC     |5,168       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,327,873 |2024-12-21 01:00:00.000 +0100|FT    |5,170       |              |8,175       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,327,874 |2024-12-21 01:00:00.000 +0100|FT    |5,165       |              |5,160       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,065 |2024-07-06 11:00:00.000 +0200|FT    |300         |              |4,323       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,066 |2024-07-06 11:00:00.000 +0200|FT    |4,314       |              |313         |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,064 |2024-07-06 11:00:00.000 +0200|FT    |4,321       |              |4,324       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,063 |2024-07-06 11:00:00.000 +0200|FT    |4,326       |              |304         |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,067 |2024-07-06 11:00:00.000 +0200|FT    |7,138       |              |4,322       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,068 |2024-07-06 12:00:00.000 +0200|FT    |4,319       |              |805         |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,069 |2024-07-06 12:00:00.000 +0200|FT    |10,409      |              |297         |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,070 |2024-07-07 08:00:00.000 +0200|FT    |4,318       |              |10,075      |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,072 |2024-07-07 11:00:00.000 +0200|FT    |317         |              |2,235       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,071 |2024-07-07 11:00:00.000 +0200|FT    |7,135       |              |4,327       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,077 |2024-07-13 11:00:00.000 +0200|FT    |4,322       |              |2,235       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,076 |2024-07-13 11:00:00.000 +0200|FT    |4,323       |              |4,321       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,075 |2024-07-13 11:00:00.000 +0200|FT    |4,324       |              |4,314       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,073 |2024-07-13 11:00:00.000 +0200|FT    |4,326       |              |4,319       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,074 |2024-07-13 11:00:00.000 +0200|FT    |4,327       |              |4,318       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,079 |2024-07-13 12:00:00.000 +0200|FT    |297         |              |7,135       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,078 |2024-07-13 12:00:00.000 +0200|FT    |313         |              |317         |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,080 |2024-07-14 11:00:00.000 +0200|FT    |304         |              |7,138       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,857,378|100      |2,024 |1,167,081 |2024-07-14 11:00:00.000 +0200|FT    |805         |              |10,409      |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
