"id","sport_id","name","country","ext_source","ext_league_id","ext_csv_code","theodds_key","enabled_theodds","country_id","tier","is_cup","is_international","created_at","updated_at"
21638,1,"3. SNL - East",Slovenia,api_football,"794",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21639,1,"3. SNL - West",Slovenia,api_football,"795",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21640,1,"2. Liga Interregional - Group 1",Switzerland,api_football,"796",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21641,1,"2. Liga Interregional - Group 2",Switzerland,api_football,"797",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21642,1,"2. Liga Interregional - Group 3",Switzerland,api_football,"798",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21643,1,"2. Liga Interregional - Group 4",Switzerland,api_football,"799",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21644,1,"2. Liga Interregional - Group 5",Switzerland,api_football,"800",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21645,1,"2. Liga Interregional - Group 6",Switzerland,api_football,"801",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21646,1,Cup,Uzbekistan,api_football,"802",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21647,1,Super Cup,Andorra,api_football,"809",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21648,1,Super Copa,Argentina,api_football,"810",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21649,1,Federation Cup,Bangladesh,api_football,"811",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21650,1,Elite Two,Cameroon,api_football,"813",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21651,1,Shield Cup,Jordan,api_football,"816",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21652,1,Super Cup Primavera,Italy,api_football,"817",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21653,1,Super Cup,Kosovo,api_football,"819",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21654,1,Crown Prince Cup,Kuwait,api_football,"820",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21655,1,FA Trophy,Malta,api_football,"821",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21656,1,Cup,Morocco,api_football,"822",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21657,1,Ligue 2,Tunisia,api_football,"828",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21658,1,Youth League,Turkmenistan,api_football,"829",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21659,1,Super Cup,Uzbekistan,api_football,"830",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21660,1,Coupe de la Ligue,Algeria,api_football,"832",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21661,1,Rock Cup,Gibraltar,api_football,"837",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21662,1,Super Cup,Jordan,api_football,"838",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21663,1,Ta?a Revela??o U23,Portugal,api_football,"840",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21664,1,Supercopa,Peru,api_football,"558",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21665,1,QFA Cup,Qatar,api_football,"841",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21666,1,Copa Verde,Brazil,api_football,"843",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21667,1,Ligue 1,Congo,api_football,"844",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21668,1,GFA League,Gambia,api_football,"845",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21669,1,Premier League,Eswatini,api_football,"847",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21670,1,Baltic Cup,World,api_football,"849",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21671,1,AFC U23 Asian Cup,World,api_football,"532",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21672,1,CONCACAF Nations League,World,api_football,"536",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21673,1,Africa Cup of Nations U20,World,api_football,"538",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21674,1,CONMEBOL Libertadores U20,World,api_football,"540",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21675,1,CONMEBOL Recopa,World,api_football,"541",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21676,1,Iraqi League,Iraq,api_football,"542",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21677,1,Super Cup,Japan,api_football,"548",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21678,1,Damallsvenskan,Sweden,api_football,"549",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
21679,1,COSAFA Cup,World,api_football,"859",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
