|canonical_country|canonical_league_name|team_id|name                      |ext_source      |ext_team_id       |
|Germany          |Bundesliga           |70     |FC Bayern München         |football_data   |5                 |
|Germany          |Bundesliga           |532    |FC St. Pauli 1910         |football_data   |20                |
|Germany          |Bundesliga           |1,062  |Fortuna Dusseldorf        |football_data_uk|Fortuna Dusseldorf|
|Germany          |Bundesliga           |1,060  |Greuther Furth            |football_data_uk|Greuther Furth    |
|Germany          |Bundesliga           |523    |Hamburger SV              |football_data   |7                 |
|Germany          |Bundesliga           |1,064  |Hannover                  |football_data_uk|Hannover          |
|Germany          |Bundesliga           |1,057  |Hertha                    |football_data_uk|Hertha            |
|Germany          |Bundesliga           |1,054  |Holstein Kiel             |football_data_uk|Holstein Kiel     |
|Germany          |Bundesliga           |1,063  |Nurnberg                  |football_data_uk|Nurnberg          |
|Germany          |Bundesliga           |1,061  |Paderborn                 |football_data_uk|Paderborn         |
|Germany          |Bundesliga           |535    |RB Leipzig                |football_data   |721               |
|Germany          |Bundesliga           |529    |SC Freiburg               |football_data   |17                |
|Germany          |Bundesliga           |1,058  |Schalke 04                |football_data_uk|Schalke 04        |
|Germany          |Bundesliga           |526    |SV Werder Bremen          |football_data   |12                |
|Germany          |Bundesliga           |519    |TSG 1899 Hoffenheim       |football_data   |2                 |
|Germany          |Bundesliga           |524    |VfB Stuttgart             |football_data   |10                |
|Germany          |Bundesliga           |525    |VfL Wolfsburg             |football_data   |11                |
|Italy            |Serie A              |537    |ACF Fiorentina            |football_data   |99                |
|Italy            |Serie A              |536    |AC Milan                  |football_data   |98                |
|Italy            |Serie A              |552    |AC Pisa 1909              |football_data   |487               |
|Italy            |Serie A              |538    |AS Roma                   |football_data   |100               |
|Italy            |Serie A              |83     |Atalanta BC               |football_data   |102               |
|Italy            |Serie A              |1,091  |Benevento                 |football_data_uk|Benevento         |
|Italy            |Serie A              |540    |Bologna FC 1909           |football_data   |103               |
|Italy            |Serie A              |1,092  |Brescia                   |football_data_uk|Brescia           |
|Italy            |Serie A              |1,073  |Cagliari                  |football_data_uk|Cagliari          |
|Italy            |Serie A              |541    |Cagliari Calcio           |football_data   |104               |
|Italy            |Serie A              |1,094  |Chievo                    |football_data_uk|Chievo            |
|Italy            |Serie A              |1,075  |Como                      |football_data_uk|Como              |
|Italy            |Serie A              |555    |Como 1907                 |football_data   |7397              |
|Italy            |Serie A              |1,090  |Crotone                   |football_data_uk|Crotone           |
|Italy            |Serie A              |1,083  |Empoli                    |football_data_uk|Empoli            |
|Italy            |Serie A              |84     |FC Internazionale Milano  |football_data   |108               |
|Italy            |Serie A              |1,086  |Frosinone                 |football_data_uk|Frosinone         |
|Italy            |Serie A              |542    |Genoa CFC                 |football_data   |107               |
|Italy            |Serie A              |549    |Hellas Verona FC          |football_data   |450               |
|Italy            |Serie A              |85     |Juventus FC               |football_data   |109               |
|Italy            |Serie A              |1,084  |Monza                     |football_data_uk|Monza             |
|Italy            |Serie A              |546    |Parma Calcio 1913         |football_data   |112               |
|Italy            |Serie A              |1,078  |Pisa                      |football_data_uk|Pisa              |
|Italy            |Serie A              |1,087  |Salernitana               |football_data_uk|Salernitana       |
|Italy            |Serie A              |1,088  |Sampdoria                 |football_data_uk|Sampdoria         |
|Italy            |Serie A              |1,093  |Spal                      |football_data_uk|Spal              |
|Italy            |Serie A              |1,089  |Spezia                    |football_data_uk|Spezia            |
|Italy            |Serie A              |86     |SSC Napoli                |football_data   |113               |
|Italy            |Serie A              |545    |SS Lazio                  |football_data   |110               |
|Italy            |Serie A              |553    |Torino FC                 |football_data   |586               |
|Italy            |Serie A              |548    |Udinese Calcio            |football_data   |115               |
|Italy            |Serie A              |550    |US Cremonese              |football_data   |457               |
|Italy            |Serie A              |554    |US Lecce                  |football_data   |5890              |
|Italy            |Serie A              |551    |US Sassuolo Calcio        |football_data   |471               |
|Italy            |Serie A              |1,085  |Venezia                   |football_data_uk|Venezia           |
|Italy            |Serie A              |1,081  |Verona                    |football_data_uk|Verona            |
|Netherlands      |Eredivisie           |95     |AFC Ajax                  |football_data   |678               |
