|theodds_key                      |canonical_league_name|event_name                                       |home_raw                  |away_raw                      |home_normalized         |away_normalized          |home_team_id|home_team_name             |away_team_id|away_team_name                |home_team_matches_in_league|away_team_matches_in_league|
|soccer_italy_serie_a             |Serie A              |Como vs Inter Milan                              |Como                      |Inter Milan                   |como                    |inter milan              |12,139      |Como                       |84          |FC Internazionale Milano      |0                          |329                        |
|soccer_italy_serie_a             |Serie A              |Pisa vs Torino                                   |Pisa                      |Torino                        |pisa                    |torino                   |1,078       |Pisa                       |12,132      |Torino                        |25                         |0                          |
|soccer_italy_serie_a             |Serie A              |Sassuolo vs Cagliari                             |Sassuolo                  |Cagliari                      |sassuolo                |cagliari                 |12,303      |Sassuolo                   |1,073       |Cagliari                      |0                          |253                        |
|soccer_italy_serie_a             |Serie A              |Sassuolo vs Cagliari                             |Sassuolo                  |Cagliari                      |sassuolo                |cagliari                 |12,303      |Sassuolo                   |12,123      |Cagliari                      |0                          |0                          |
|soccer_italy_serie_a             |Serie A              |Sassuolo vs Cagliari                             |Sassuolo                  |Cagliari                      |sassuolo                |cagliari                 |551         |US Sassuolo Calcio         |12,123      |Cagliari                      |291                        |0                          |
|soccer_italy_serie_a             |Serie A              |Udinese vs Como                                  |Udinese                   |Como                          |udinese                 |como                     |548         |Udinese Calcio             |12,139      |Como                          |329                        |0                          |
|soccer_italy_serie_a             |Serie A              |Udinese vs Como                                  |Udinese                   |Como                          |udinese                 |como                     |12,125      |Udinese                    |12,139      |Como                          |0                          |0                          |
|soccer_italy_serie_a             |Serie A              |Udinese vs Como                                  |Udinese                   |Como                          |udinese                 |como                     |12,125      |Udinese                    |1,075       |Como                          |0                          |62                         |
|soccer_uefa_champs_league        |UEFA Champions League|Barcelona vs Atlético Madrid                     |Barcelona                 |Atlético Madrid               |barcelona               |atletico madrid          |12,082      |Barcelona                  |12,083      |Atletico Madrid               |0                          |0                          |
|soccer_uefa_champs_league        |UEFA Champions League|Barcelona vs Atlético Madrid                     |Barcelona                 |Atlético Madrid               |barcelona               |atletico madrid          |80          |FC Barcelona               |12,083      |Atletico Madrid               |12                         |0                          |
