|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|league_import_plan|106567_139286_6_not_null|CHECK|||||
|league_import_plan|106567_139286_7_not_null|CHECK|||||
|league_import_plan|106567_139286_8_not_null|CHECK|||||
|league_import_plan|106567_139286_9_not_null|CHECK|||||
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider|ops|league_import_plan|provider|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider|ops|league_import_plan|provider_league_id|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider|ops|league_import_plan|season|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider_league_id|ops|league_import_plan|provider|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider_league_id|ops|league_import_plan|provider_league_id|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|provider_league_id|ops|league_import_plan|season|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|season|ops|league_import_plan|provider|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|season|ops|league_import_plan|provider_league_id|
|league_import_plan|league_import_plan_pkey|PRIMARY KEY|season|ops|league_import_plan|season|
|player_enrichment_plan|106567_270405_12_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_13_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_14_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_17_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_18_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_1_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_2_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_3_not_null|CHECK|||||
|player_enrichment_plan|106567_270405_4_not_null|CHECK|||||
|player_enrichment_plan|player_enrichment_plan_pkey|PRIMARY KEY|id|ops|player_enrichment_plan|id|
|player_enrichment_plan|player_enrichment_plan_player_id_fkey|FOREIGN KEY|player_id||||
|provider_accounts|106567_204947_11_not_null|CHECK|||||
|provider_accounts|106567_204947_12_not_null|CHECK|||||
|provider_accounts|106567_204947_1_not_null|CHECK|||||
|provider_accounts|106567_204947_2_not_null|CHECK|||||
|provider_accounts|106567_204947_3_not_null|CHECK|||||
|provider_accounts|106567_204947_4_not_null|CHECK|||||
|provider_accounts|106567_204947_5_not_null|CHECK|||||
|provider_accounts|106567_204947_8_not_null|CHECK|||||
|provider_accounts|chk_provider_accounts_plan_code|CHECK||ops|provider_accounts|plan_code|
|provider_accounts|provider_accounts_pkey|PRIMARY KEY|id|ops|provider_accounts|id|
|provider_coaches_runtime_checklist|106567_442394_10_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_11_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_1_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_2_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_3_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_4_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_5_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_6_not_null|CHECK|||||
|provider_coaches_runtime_checklist|106567_442394_7_not_null|CHECK|||||
|provider_coaches_runtime_checklist|provider_coaches_runtime_checklist_pkey|PRIMARY KEY|id|ops|provider_coaches_runtime_checklist|id|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|provider|ops|provider_coaches_runtime_checklist|provider|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|provider|ops|provider_coaches_runtime_checklist|sport_code|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|provider|ops|provider_coaches_runtime_checklist|endpoint_name|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|provider|ops|provider_coaches_runtime_checklist|check_scope|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|sport_code|ops|provider_coaches_runtime_checklist|provider|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|sport_code|ops|provider_coaches_runtime_checklist|sport_code|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|sport_code|ops|provider_coaches_runtime_checklist|endpoint_name|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|sport_code|ops|provider_coaches_runtime_checklist|check_scope|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|endpoint_name|ops|provider_coaches_runtime_checklist|provider|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|endpoint_name|ops|provider_coaches_runtime_checklist|sport_code|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|endpoint_name|ops|provider_coaches_runtime_checklist|endpoint_name|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|endpoint_name|ops|provider_coaches_runtime_checklist|check_scope|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|check_scope|ops|provider_coaches_runtime_checklist|provider|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|check_scope|ops|provider_coaches_runtime_checklist|sport_code|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|check_scope|ops|provider_coaches_runtime_checklist|endpoint_name|
|provider_coaches_runtime_checklist|ux_provider_coaches_runtime_checklist|UNIQUE|check_scope|ops|provider_coaches_runtime_checklist|check_scope|
|provider_entity_coverage|106567_385028_10_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_11_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_12_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_13_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_14_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_15_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_16_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_17_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_1_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_24_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_25_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_2_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_3_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_4_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_5_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_6_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_7_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_8_not_null|CHECK|||||
|provider_entity_coverage|106567_385028_9_not_null|CHECK|||||
|provider_entity_coverage|chk_provider_entity_coverage_status|CHECK||ops|provider_entity_coverage|coverage_status|
|provider_entity_coverage|chk_provider_entity_depth|CHECK||ops|provider_entity_coverage|expected_depth|
|provider_entity_coverage|chk_provider_entity_quality|CHECK||ops|provider_entity_coverage|quality_rating|
|provider_entity_coverage|chk_provider_entity_scope|CHECK||ops|provider_entity_coverage|availability_scope|
|provider_entity_coverage|provider_entity_coverage_pkey|PRIMARY KEY|id|ops|provider_entity_coverage|id|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|provider|ops|provider_entity_coverage|provider|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|provider|ops|provider_entity_coverage|entity|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|provider|ops|provider_entity_coverage|sport_code|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|sport_code|ops|provider_entity_coverage|sport_code|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|sport_code|ops|provider_entity_coverage|provider|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|sport_code|ops|provider_entity_coverage|entity|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|entity|ops|provider_entity_coverage|provider|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|entity|ops|provider_entity_coverage|sport_code|
|provider_entity_coverage|uq_provider_entity_coverage|UNIQUE|entity|ops|provider_entity_coverage|entity|
|provider_jobs|106567_204927_11_not_null|CHECK|||||
|provider_jobs|106567_204927_12_not_null|CHECK|||||
|provider_jobs|106567_204927_16_not_null|CHECK|||||
|provider_jobs|106567_204927_17_not_null|CHECK|||||
|provider_jobs|106567_204927_1_not_null|CHECK|||||
|provider_jobs|106567_204927_2_not_null|CHECK|||||
|provider_jobs|106567_204927_3_not_null|CHECK|||||
|provider_jobs|106567_204927_4_not_null|CHECK|||||
|provider_jobs|106567_204927_5_not_null|CHECK|||||
|provider_jobs|106567_204927_6_not_null|CHECK|||||
|provider_jobs|106567_204927_7_not_null|CHECK|||||
|provider_jobs|106567_204927_8_not_null|CHECK|||||
|provider_jobs|chk_provider_jobs_ingest_mode|CHECK||ops|provider_jobs|ingest_mode|
|provider_jobs|provider_jobs_pkey|PRIMARY KEY|id|ops|provider_jobs|id|
|provider_people_audit|106567_442370_10_not_null|CHECK|||||
|provider_people_audit|106567_442370_11_not_null|CHECK|||||
|provider_people_audit|106567_442370_12_not_null|CHECK|||||
|provider_people_audit|106567_442370_13_not_null|CHECK|||||
|provider_people_audit|106567_442370_17_not_null|CHECK|||||
|provider_people_audit|106567_442370_18_not_null|CHECK|||||
|provider_people_audit|106567_442370_1_not_null|CHECK|||||
|provider_people_audit|106567_442370_22_not_null|CHECK|||||
|provider_people_audit|106567_442370_23_not_null|CHECK|||||
|provider_people_audit|106567_442370_2_not_null|CHECK|||||
|provider_people_audit|106567_442370_3_not_null|CHECK|||||
|provider_people_audit|106567_442370_4_not_null|CHECK|||||
