|sport|provider             |entity  |provider_role  |structure_status |provider_status    |build_mode          |next_build_step               |rows_count|
|FB   |api_sport            |coaches |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |api_sport            |fixtures|CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |api_sport            |leagues |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |api_sport            |odds    |ODDS_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |api_sport            |players |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |api_sport            |teams   |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |792       |
|FB   |football_data        |coaches |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |coaches |PEOPLE_PROVIDER|STRUCTURE_REVIEW |ALT_PROVIDER_NEEDED|MANUAL_REVIEW       |MANUAL_REVIEW                 |10        |
|FB   |football_data        |fixtures|CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |fixtures|CORE_PROVIDER  |REFERENCE_CORE   |ACTIVE_PROVIDER    |REFERENCE_CORE      |KEEP_AS_REFERENCE_BASELINE    |10        |
|FB   |football_data        |leagues |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |leagues |CORE_PROVIDER  |REFERENCE_CORE   |ACTIVE_PROVIDER    |REFERENCE_CORE      |KEEP_AS_REFERENCE_BASELINE    |10        |
|FB   |football_data        |odds    |ODDS_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |odds    |ODDS_PROVIDER  |STRUCTURE_REVIEW |ALT_PROVIDER_NEEDED|MANUAL_REVIEW       |MANUAL_REVIEW                 |10        |
|FB   |football_data        |players |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |players |PEOPLE_PROVIDER|STRUCTURE_REVIEW |ALT_PROVIDER_NEEDED|MANUAL_REVIEW       |MANUAL_REVIEW                 |10        |
|FB   |football_data        |teams   |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |16        |
|FB   |football_data        |teams   |CORE_PROVIDER  |REFERENCE_CORE   |ACTIVE_PROVIDER    |REFERENCE_CORE      |KEEP_AS_REFERENCE_BASELINE    |10        |
|FH   |api_field_hockey     |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|FH   |api_field_hockey     |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|FH   |api_field_hockey     |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|FH   |api_field_hockey     |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|FH   |api_field_hockey     |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
