|sport|provider             |entity  |status    |rows_count|enabled_rows|rows_with_data|fixtures_count|teams_count|odds_count|players_count|coaches_count|last_job_started_at          |last_job_success_at|
|FH   |api_field_hockey     |coaches |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FH   |api_field_hockey     |fixtures|planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FH   |api_field_hockey     |leagues |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FH   |api_field_hockey     |odds    |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FH   |api_field_hockey     |players |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FH   |api_field_hockey     |teams   |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |coaches |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |fixtures|planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |leagues |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |odds    |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |players |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HB   |api_handball         |teams   |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|HK   |api_hockey           |coaches |tech_ready|1         |1           |0             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |coaches |planned   |242       |242         |0             |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |coaches |disabled  |281       |0           |0             |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|HK   |api_hockey           |fixtures|tech_ready|1         |1           |0             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |fixtures|planned   |242       |242         |0             |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |fixtures|disabled  |281       |0           |1             |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|HK   |api_hockey           |leagues |tech_ready|1         |1           |0             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |leagues |planned   |242       |242         |242           |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |leagues |disabled  |281       |0           |281           |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|HK   |api_hockey           |odds    |tech_ready|1         |1           |0             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |odds    |planned   |242       |242         |0             |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |odds    |disabled  |281       |0           |0             |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|HK   |api_hockey           |players |tech_ready|1         |1           |0             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |players |planned   |242       |242         |0             |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |players |disabled  |281       |0           |0             |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|HK   |api_hockey           |teams   |tech_ready|1         |1           |1             |0             |10         |0         |0            |0            |2026-03-31 12:05:56.114 +0200|                   |
|HK   |api_hockey           |teams   |planned   |242       |242         |21            |0             |247        |0         |0            |0            |                             |                   |
|HK   |api_hockey           |teams   |disabled  |281       |0           |2             |1,146         |37         |0         |0            |0            |2026-03-31 12:31:06.788 +0200|                   |
|MMA  |api_mma              |coaches |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|MMA  |api_mma              |fixtures|planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|MMA  |api_mma              |leagues |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|MMA  |api_mma              |odds    |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|MMA  |api_mma              |players |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|MMA  |api_mma              |teams   |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|RGB  |api_rugby            |coaches |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|RGB  |api_rugby            |fixtures|planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|RGB  |api_rugby            |leagues |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
