"file_name","full_path","folder","sport","entity","role"
"run_player_match_statistics_public_merge_v1.py","C:\MatchMatrix-platform\workers\run_player_match_statistics_public_merge_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","fixtures","runner"
"parse_api_baseball_leagues_to_staging.py","C:\MatchMatrix-platform\ingest\API-Baseball\parse_api_baseball_leagues_to_staging.py","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","parser"
"parse_api_rugby_leagues_to_staging.py","C:\MatchMatrix-platform\ingest\API-Rugby\parse_api_rugby_leagues_to_staging.py","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","parser"
"parse_api_tennis_leagues_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\parse_api_tennis_leagues_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","parser"
"pull_api_cricket_leagues.ps1","C:\MatchMatrix-platform\ingest\API-Cricket\pull_api_cricket_leagues.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","pull"
"pull_api_rugby_leagues.ps1","C:\MatchMatrix-platform\ingest\API-Rugby\pull_api_rugby_leagues.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","pull"
"pull_api_sport_leagues.ps1","C:\MatchMatrix-platform\ingest\API-Sport\pull_api_sport_leagues.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","pull"
"pull_api_tennis_leagues_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\pull_api_tennis_leagues_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","leagues","pull"
"run_parse_api_sport_leagues_v1.py","C:\MatchMatrix-platform\workers\run_parse_api_sport_leagues_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","leagues","runner"
"parse_api_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\parse_api_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","parser"
"theodds_parse_multi_FINAL.py","C:\MatchMatrix-platform\ingest\TheOdds\theodds_parse_multi_FINAL.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","parser"
"theodds_parse_multi_V3.py","C:\MatchMatrix-platform\ingest\TheOdds\theodds_parse_multi_V3.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","parser"
"theodds_parse_multi_V3_old.py","C:\MatchMatrix-platform\ingest\TheOdds\theodds_parse_multi_V3_old.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","parser"
