|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|ops|provider_coaches_runtime_checklist|10|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_coaches_runtime_checklist|11|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_entity_coverage|1|id|bigint|int8|NO|nextval('ops.provider_entity_coverage_id_seq'::regclass)|
|ops|provider_entity_coverage|2|provider|text|text|NO||
|ops|provider_entity_coverage|3|sport_code|text|text|NO||
|ops|provider_entity_coverage|4|entity|text|text|NO||
|ops|provider_entity_coverage|5|coverage_status|text|text|NO|'planned'::text|
|ops|provider_entity_coverage|6|is_enabled|boolean|bool|NO|true|
|ops|provider_entity_coverage|7|provider_priority|integer|int4|NO|100|
|ops|provider_entity_coverage|8|merge_priority|integer|int4|NO|100|
|ops|provider_entity_coverage|9|fetch_priority|integer|int4|NO|100|
|ops|provider_entity_coverage|10|quality_rating|text|text|NO|'unknown'::text|
|ops|provider_entity_coverage|11|availability_scope|text|text|NO|'unknown'::text|
|ops|provider_entity_coverage|12|free_plan_supported|boolean|bool|NO|false|
|ops|provider_entity_coverage|13|paid_plan_supported|boolean|bool|NO|false|
|ops|provider_entity_coverage|14|expected_depth|text|text|NO|'unknown'::text|
|ops|provider_entity_coverage|15|is_primary_source|boolean|bool|NO|false|
|ops|provider_entity_coverage|16|is_fallback_source|boolean|bool|NO|false|
|ops|provider_entity_coverage|17|is_merge_source|boolean|bool|NO|true|
|ops|provider_entity_coverage|18|source_endpoint|text|text|YES||
|ops|provider_entity_coverage|19|target_table|text|text|YES||
|ops|provider_entity_coverage|20|worker_script|text|text|YES||
|ops|provider_entity_coverage|21|notes|text|text|YES||
|ops|provider_entity_coverage|22|limitations|text|text|YES||
|ops|provider_entity_coverage|23|next_action|text|text|YES||
|ops|provider_entity_coverage|24|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_entity_coverage|25|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_jobs|1|id|bigint|int8|NO|nextval('ops.provider_jobs_id_seq'::regclass)|
|ops|provider_jobs|2|provider|text|text|NO||
|ops|provider_jobs|3|sport_code|text|text|NO||
|ops|provider_jobs|4|job_code|text|text|NO||
|ops|provider_jobs|5|endpoint_code|text|text|NO||
|ops|provider_jobs|6|ingest_mode|text|text|NO||
|ops|provider_jobs|7|enabled|boolean|bool|NO|true|
|ops|provider_jobs|8|priority|integer|int4|NO|100|
|ops|provider_jobs|9|batch_size|integer|int4|YES||
|ops|provider_jobs|10|max_requests_per_run|integer|int4|YES||
|ops|provider_jobs|11|retry_limit|integer|int4|NO|3|
|ops|provider_jobs|12|cooldown_seconds|integer|int4|NO|0|
|ops|provider_jobs|13|days_back|integer|int4|YES||
|ops|provider_jobs|14|days_forward|integer|int4|YES||
|ops|provider_jobs|15|notes|text|text|YES||
|ops|provider_jobs|16|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_jobs|17|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_people_audit|1|id|bigint|int8|NO|nextval('ops.provider_people_audit_id_seq'::regclass)|
|ops|provider_people_audit|2|provider|text|text|NO||
|ops|provider_people_audit|3|sport_code|text|text|NO||
|ops|provider_people_audit|4|entity|text|text|NO||
|ops|provider_people_audit|5|provider_role|text|text|YES||
|ops|provider_people_audit|6|source_category|text|text|YES||
|ops|provider_people_audit|7|endpoint_name|text|text|YES||
|ops|provider_people_audit|8|endpoint_exists|boolean|bool|NO|false|
|ops|provider_people_audit|9|endpoint_tested|boolean|bool|NO|false|
|ops|provider_people_audit|10|endpoint_returns_data|boolean|bool|NO|false|
|ops|provider_people_audit|11|usable_for_league|boolean|bool|NO|false|
|ops|provider_people_audit|12|usable_for_team|boolean|bool|NO|false|
|ops|provider_people_audit|13|usable_for_season|boolean|bool|NO|false|
|ops|provider_people_audit|14|technical_status|text|text|YES||
|ops|provider_people_audit|15|data_quality_status|text|text|YES||
