|id   |provider        |sport_code|entity  |provider_league_id|season|run_group           |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |
|1,102|api_hockey      |HK        |coaches |224               |      |HK_TOP              |2,060   |error  |0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,108|api_hockey      |HK        |coaches |214               |      |HK_TOP              |2,060   |done   |0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,093|api_hockey      |HK        |fixtures|146               |      |HK_TOP              |5,000   |done   |1       |2026-03-25 14:07:23.368 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 15:34:27.650 +0100|
|1,099|api_hockey      |HK        |fixtures|224               |      |HK_TOP              |5,000   |done   |1       |2026-03-25 14:16:50.980 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 15:34:27.650 +0100|
|1,111|api_hockey      |HK        |fixtures|236               |      |HK_TOP              |5,000   |done   |1       |2026-03-25 15:31:59.118 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 15:34:27.650 +0100|
|1,214|api_football    |FB        |players |110               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-22 12:13:22.619 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-04-08 07:25:48.263 +0200|
|1,116|api_hockey      |HK        |teams   |110               |      |HK_TOP              |2,020   |pending|0       |                             |2026-03-25 13:17:08.838 +0100|2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
|1,114|api_hockey      |HK        |coaches |236               |      |HK_TOP              |2,060   |done   |0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,120|api_hockey      |HK        |coaches |110               |      |HK_TOP              |2,060   |done   |0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,110|api_hockey      |HK        |teams   |236               |      |HK_TOP              |2,020   |done   |1       |2026-03-31 12:31:06.766 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:31:08.238 +0200|
|1,133|api_hockey      |HK        |leagues |173               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,136|api_hockey      |HK        |odds    |173               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,137|api_hockey      |HK        |players |173               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,138|api_hockey      |HK        |coaches |173               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,139|api_hockey      |HK        |leagues |59                |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,142|api_hockey      |HK        |odds    |59                |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,143|api_hockey      |HK        |players |59                |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,144|api_hockey      |HK        |coaches |59                |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,145|api_hockey      |HK        |leagues |63                |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,148|api_hockey      |HK        |odds    |63                |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,149|api_hockey      |HK        |players |63                |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,150|api_hockey      |HK        |coaches |63                |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,151|api_hockey      |HK        |leagues |230               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,154|api_hockey      |HK        |odds    |230               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,155|api_hockey      |HK        |players |230               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,156|api_hockey      |HK        |coaches |230               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,157|api_hockey      |HK        |leagues |101               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,160|api_hockey      |HK        |odds    |101               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,161|api_hockey      |HK        |players |101               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,162|api_hockey      |HK        |coaches |101               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,163|api_hockey      |HK        |leagues |37                |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,166|api_hockey      |HK        |odds    |37                |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,167|api_hockey      |HK        |players |37                |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,168|api_hockey      |HK        |coaches |37                |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,169|api_hockey      |HK        |leagues |242               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,172|api_hockey      |HK        |odds    |242               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,173|api_hockey      |HK        |players |242               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,174|api_hockey      |HK        |coaches |242               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,175|api_hockey      |HK        |leagues |141               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,178|api_hockey      |HK        |odds    |141               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,179|api_hockey      |HK        |players |141               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,180|api_hockey      |HK        |coaches |141               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,181|api_hockey      |HK        |leagues |257               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,184|api_hockey      |HK        |odds    |257               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,185|api_hockey      |HK        |players |257               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
