|league_id|league_name                      |teams_in_league|total_players_in_league|avg_players_per_team|
|23,559   |A Division                                  |0              |0                      |0                   |
|21,036   |AFC Challenge Cup                           |0              |0                      |0                   |
|23,414   |AFC Challenge Cup                           |0              |0                      |0                   |
|21,985   |AFC Challenge League                        |0              |0                      |0                   |
|24,099   |AFC Challenge League                        |0              |0                      |0                   |
|21,164   |AFC Champions League                        |0              |0                      |0                   |
|21,193   |AFC Cup                                     |0              |0                      |0                   |
|21,861   |AFC U17 Asian Cup                           |0              |0                      |0                   |
|23,973   |AFC U17 Asian Cup                           |0              |0                      |0                   |
|22,015   |AFC U17 Asian Cup - Qualification           |0              |0                      |0                   |
|24,128   |AFC U17 Asian Cup - Qualification           |0              |0                      |0                   |
|24,059   |AFC U17 Asian Cup - Women                   |0              |0                      |0                   |
|21,949   |AFC U17 Asian Cup - Women                   |0              |0                      |0                   |
|23,967   |AFC U20 Asian Cup                           |0              |0                      |0                   |
|21,855   |AFC U20 Asian Cup                           |0              |0                      |0                   |
|22,006   |AFC U20 Asian Cup - Qualification           |0              |0                      |0                   |
|24,120   |AFC U20 Asian Cup - Qualification           |0              |0                      |0                   |
|21,925   |AFC U20 Asian Cup - Women                   |0              |0                      |0                   |
|24,036   |AFC U20 Asian Cup - Women                   |0              |0                      |0                   |
|23,785   |AFC U23 Asian Cup                           |0              |0                      |0                   |
|21,671   |AFC U23 Asian Cup                           |0              |0                      |0                   |
|23,956   |AFC U23 Asian Cup - Qualification           |0              |0                      |0                   |
|21,823   |AFC U23 Asian Cup - Qualification           |0              |0                      |0                   |
|21,993   |AFC Women's Champions League                |0              |0                      |0                   |
|24,107   |AFC Women's Champions League                |0              |0                      |0                   |
|22,963   |Africa Champions Cup                        |0              |0                      |0                   |
|22,964   |Africa Champions Cup Women                  |0              |0                      |0                   |
|21,047   |Africa Cup of Nations                       |0              |0                      |0                   |
|21,726   |Africa Cup of Nations - Qualification       |0              |0                      |0                   |
|23,787   |Africa Cup of Nations U20                   |0              |0                      |0                   |
|21,673   |Africa Cup of Nations U20                   |0              |0                      |0                   |
|21,769   |Africa Cup of Nations - Women               |0              |0                      |0                   |
|23,884   |Africa Cup of Nations - Women               |0              |0                      |0                   |
|22,965   |African Championship                        |0              |0                      |0                   |
|24,527   |African Championship                        |0              |0                      |0                   |
|22,966   |African Championship U16                    |0              |0                      |0                   |
|22,967   |African Championship U16 Women              |0              |0                      |0                   |
|22,968   |African Championship U18                    |0              |0                      |0                   |
|22,969   |African Championship U18 Women              |0              |0                      |0                   |
|24,462   |African Championship Women                  |0              |0                      |0                   |
|24,464   |African Club Championship                   |0              |0                      |0                   |
|24,491   |African Club Championship Women             |0              |0                      |0                   |
|21,891   |African Football League                     |0              |0                      |0                   |
|24,003   |African Football League                     |0              |0                      |0                   |
|20,968   |African Nations Championship                |0              |0                      |0                   |
|24,130   |African Nations Championship - Qualification|0              |0                      |0                   |
|22,017   |African Nations Championship - Qualification|0              |0                      |0                   |
|23,957   |Africa U23 Cup of Nations - Qualification   |0              |0                      |0                   |
|21,829   |Africa U23 Cup of Nations - Qualification   |0              |0                      |0                   |
|22,970   |AfroBasket                                  |0              |0                      |0                   |
|22,971   |AfroBasket Women                            |0              |0                      |0                   |
|22,972   |AfroCan                                     |0              |0                      |0                   |
|22,016   |AGCFF Gulf Champions League                 |0              |0                      |0                   |
|24,129   |AGCFF Gulf Champions League                 |0              |0                      |0                   |
|22,609   |AHL                                         |0              |0                      |0                   |
|21,227   |AIFF Super Cup                              |0              |0                      |0                   |
|23,468   |AIFF Super Cup                              |0              |0                      |0                   |
|22,567   |AIHL                                        |0              |0                      |0                   |
|21,197   |Alagoano                                    |0              |0                      |0                   |
|22,000   |Alagoano - 2                                |0              |0                      |0                   |
|24,114   |Alagoano - 2                                |0              |0                      |0                   |
|21,957   |Alagoano U20                                |0              |0                      |0                   |
|24,067   |Alagoano U20                                |0              |0                      |0                   |
|23,361   |Albert Schweitzer Tournament                |0              |0                      |0                   |
|20,919   |A-League                                    |0              |0                      |0                   |
|21,095   |A-League Women                              |0              |0                      |0                   |
|21,722   |Algarve Cup                                 |0              |0                      |0                   |
|23,838   |Algarve Cup                                 |0              |0                      |0                   |
|21,909   |All Africa Games                            |0              |0                      |0                   |
|24,019   |All Africa Games                            |0              |0                      |0                   |
|22,538   |AllEttan Norra                              |0              |0                      |0                   |
|22,464   |AllEttan Play Offs                          |0              |0                      |0                   |
|22,547   |AllEttan S?dra                              |10             |0                      |0                   |
|21,862   |All-Island Cup - Women                      |0              |0                      |0                   |
|23,974   |All-Island Cup - Women                      |0              |0                      |0                   |
|22,524   |All Star Cup                                |0              |0                      |0                   |
|23,139   |All Stars                                   |0              |0                      |0                   |
|21,067   |Allsvenskan                                 |17             |0                      |0                   |
|23,077   |Alpe Adria Cup                              |0              |0                      |0                   |
|22,532   |Alps Hockey League                          |0              |0                      |0                   |
|20,978   |A Lyga                                      |10             |0                      |0                   |
|23,430   |Amapaense                                   |0              |0                      |0                   |
|21,124   |Amapaense                                   |0              |0                      |0                   |
|23,431   |Amazonense                                  |0              |0                      |0                   |
|21,125   |Amazonense                                  |0              |0                      |0                   |
|21,987   |Amazonense - 2                              |0              |0                      |0                   |
|24,101   |Amazonense - 2                              |0              |0                      |0                   |
|23,363   |Americas Championship U16                   |0              |0                      |0                   |
|23,364   |Americas Championship U16 Women             |0              |0                      |0                   |
|23,365   |Americas Championship U18                   |0              |0                      |0                   |
|23,366   |Americas Championship U18 Women             |0              |0                      |0                   |
|23,368   |Americas League                             |0              |0                      |0                   |
|23,362   |AmeriCup                                    |0              |0                      |0                   |
|23,367   |AmeriCup Women                              |0              |0                      |0                   |
|23,940   |Arab Championship - U20                     |0              |0                      |0                   |
|21,827   |Arab Championship - U20                     |0              |0                      |0                   |
|23,478   |Arab Club Champions Cup                     |0              |0                      |0                   |
|21,269   |Arab Club Champions Cup                     |0              |0                      |0                   |
|23,808   |Arab Cup                                    |0              |0                      |0                   |
|21,693   |Arab Cup                                    |0              |0                      |0                   |
|24,171   |Arabian Gulf Cup U23                        |0              |0                      |0                   |
|21,557   |Arabian Gulf Cup U23                        |0              |0                      |0                   |
|20,976   |ASEAN Championship                          |0              |0                      |0                   |
|23,889   |ASEAN Championship U19                      |0              |0                      |0                   |
|21,775   |ASEAN Championship U19                      |0              |0                      |0                   |
|21,755   |ASEAN Championship U23                      |0              |0                      |0                   |
|23,871   |ASEAN Championship U23                      |0              |0                      |0                   |
|22,036   |Asean Championship Women                    |0              |0                      |0                   |
|24,152   |Asean Championship Women                    |0              |0                      |0                   |
|21,982   |ASEAN Club Championship                     |0              |0                      |0                   |
|24,096   |ASEAN Club Championship                     |0              |0                      |0                   |
|22,981   |Asia Challenge                              |0              |0                      |0                   |
|22,416   |Asia Challenge Cup                          |0              |0                      |0                   |
|22,410   |Asia Challenge Cup Div. I                   |0              |0                      |0                   |
|22,982   |Asia Champions Cup                          |0              |0                      |0                   |
|22,984   |Asia Championship U16                       |0              |0                      |0                   |
|22,985   |Asia Championship U16 B Women               |0              |0                      |0                   |
|22,986   |Asia Championship U16 Women                 |0              |0                      |0                   |
|22,987   |Asia Championship U18                       |0              |0                      |0                   |
|22,988   |Asia Championship U18 B Women               |0              |0                      |0                   |
|22,989   |Asia Championship U18 Women                 |0              |0                      |0                   |
|22,983   |Asia Champions League                       |0              |0                      |0                   |
|22,990   |Asia Cup                                    |0              |0                      |0                   |
|22,991   |Asia Cup Women                              |0              |0                      |0                   |
|22,440   |Asia League                                 |5              |0                      |0                   |
|24,485   |Asian Championship                          |0              |0                      |0                   |
|24,584   |Asian Championship U18                      |0              |0                      |0                   |
|24,642   |Asian Championship U19 Women                |0              |0                      |0                   |
|24,568   |Asian Championship U20                      |0              |0                      |0                   |
|24,571   |Asian Championship U23                      |0              |0                      |0                   |
|24,604   |Asian Championship U23 Women                |0              |0                      |0                   |
|24,509   |Asian Championship Women                    |0              |0                      |0                   |
|24,519   |Asian Club Championship                     |0              |0                      |0                   |
|24,697   |Asian Club Championship Women               |0              |0                      |0                   |
|20,905   |Asian Cup                                   |0              |0                      |0                   |
|24,666   |Asian Cup                                   |0              |0                      |0                   |
